phi,b,n,k,coupling,conformal,drift,bound,breach_mc
0.5,2,125,114,16.004792732023116,0.09523809523809523,0.023029744678024322,16.123060571939234,0.1043
0.5,3,83,76,5.2706832281780605,0.09523809523809523,0.025512085264835616,5.3914334086809905,0.1063
0.5,4,62,57,1.9706766861658263,0.09523809523809523,0.027773163960054692,2.093687945363976,0.1073
0.5,5,50,46,0.7970696525393844,0.0980392156862745,0.029894990069432748,0.9250038582950917,0.1091
0.5,6,41,38,0.32814502980952837,0.09523809523809523,0.03190687370566159,0.4552899987532852,0.107
0.5,7,35,33,0.14062714583815542,0.08333333333333337,0.03382397995570696,0.2577844591271957,0.0981
0.5,8,31,29,0.06250023842054969,0.09375,0.035656675339693855,0.19190691376024355,0.1091
0.5,9,27,26,0.02734377607708597,0.0714285714285714,0.03741327036230979,0.13618561786796715,0.087
0.5,10,25,24,0.012695315526799929,0.07692307692307687,0.03910090705249725,0.12871929950237404,0.0933
0.5,11,22,21,0.005615234709694093,0.08695652173913049,0.04072587480202694,0.13329763125085153,0.1045
0.5,12,20,19,0.0025634766006987788,0.09523809523809523,0.04229374759936744,0.14009531943816145,0.1095
0.5,13,19,18,0.0012207031295474735,0.09999999999999998,0.04380946787490703,0.14503017100445448,0.115
0.5,14,17,17,0.0005493164067615908,0.05555555555555558,0.045277415216045336,0.1013822871783625,0.0706
0.5,15,16,16,0.00025939941412289613,0.05882352941176472,0.0467014697980257,0.10578439862391331,0.0738
0.5,16,15,15,0.00012207031250710543,0.0625,0.04808507178614496,0.11070714209865207,0.073
0.5,17,14,14,5.722045898520767e-05,0.06666666666666665,0.049431275990894585,0.11615516311654644,0.082
0.5,18,13,13,2.6702880859472145e-05,0.0714285714285714,0.05074280108154228,0.12219807539097315,0.0873
0.5,19,13,13,1.3351440429699643e-05,0.0714285714285714,0.05202207311516305,0.12346399598416415,0.0889
0.5,20,12,12,6.1988830566420345e-06,0.07692307692307687,0.05327126354018619,0.1302005393463197,0.0979
0.5,21,11,11,2.8610229492189126e-06,0.08333333333333337,0.05449232208729371,0.1378285164435763,0.1018
0.5,22,11,11,1.4305114746093953e-06,0.08333333333333337,0.05568700508318014,0.13902176892798812,0.0995
0.5,23,10,10,6.556510925292992e-07,0.09090909090909094,0.056856899755487245,0.1477666463156707,0.1149
0.5,24,10,10,3.2782554626464876e-07,0.09090909090909094,0.058003445076813875,0.14891286381145108,0.1125
0.5,25,10,10,1.6391277313232425e-07,0.09090909090909094,0.05912794964804391,0.15003720446990798,0.1139
0.5,26,9,9,7.450580596923828e-08,0.09999999999999998,0.06023160706277353,0.16023168156857948,0.1295
0.5,27,9,9,3.725290298461914e-08,0.09999999999999998,0.061315509134847845,0.1613155463877508,0.1206
0.5,28,8,9,1.6763806343078613e-08,0.0,0.06238065731493503,0.06238067407874137,0.0
0.5,29,8,9,8.381903171539307e-09,0.0,0.06342797257188271,0.06342798095378588,0.0
0.5,30,8,9,4.190951585769653e-09,0.0,0.0644583039710056,0.06445830816195719,0.0
0.5,31,8,9,2.0954757928848267e-09,0.0,0.06547243614424403,0.06547243823971982,0.0
0.5,32,7,8,9.313225746154785e-10,0.0,0.06647109581574906,0.06647109674707163,0.0
0.5,33,7,8,4.656612873077393e-10,0.0,0.06745495752016906,0.06745495798583034,0.0
0.5,34,7,8,2.3283064365386963e-10,0.0,0.068424648628995,0.06842464886182564,0.0
0.5,35,7,8,1.1641532182693481e-10,0.0,0.06938075378207142,0.06938075389848675,0.0
0.5,36,6,7,5.093170329928398e-11,0.0,0.07032381880621141,0.07032381885714312,0.0
0.5,37,6,7,2.546585164964199e-11,0.0,0.07125435419021775,0.0712543542156836,0.0
0.5,38,6,7,1.2732925824820995e-11,0.0,0.07217283817509945,0.07217283818783238,0.0
0.5,39,6,7,6.366462912410498e-12,0.0,0.07307971950947545,0.07307971951584191,0.0
0.5,40,6,7,3.183231456205249e-12,0.0,0.07397541991282419,0.07397541991600742,0.0
0.5,41,6,7,1.5916157281026244e-12,0.0,0.07486033628306488,0.07486033628465649,0.0
0.5,42,5,6,6.821210263296962e-13,0.0,0.0757348426797837,0.07573484268046582,0.0
0.5,43,5,6,3.410605131648481e-13,0.0,0.07659929211004712,0.07659929211038818,0.0
0.5,44,5,6,1.7053025658242404e-13,0.0,0.07745401814005515,0.07745401814022568,0.0
0.5,45,5,6,8.526512829121202e-14,0.0,0.07829933635275821,0.07829933635284347,0.0
0.5,46,5,6,4.263256414560601e-14,0.0,0.07913554566889758,0.07913554566894021,0.0
0.5,47,5,6,2.1316282072803006e-14,0.0,0.07996292954666462,0.07996292954668593,0.0
0.5,48,5,6,1.0658141036401503e-14,0.0,0.08078175707323587,0.08078175707324653,0.0
0.5,49,5,6,5.329070518200751e-15,0.0,0.08159228395977047,0.0815922839597758,0.0
0.5,50,5,6,2.6645352591003757e-15,0.0,0.08239475345004266,0.08239475345004532,0.0
0.8,2,125,114,45.73274994582029,0.09523809523809523,0.021023671026752178,45.84901171208514,0.1088
0.8,3,83,76,23.157453103387436,0.09523809523809523,0.02187741961191403,23.274568618237446,0.1096
0.8,4,62,57,13.499101804101695,0.09523809523809523,0.022669980399262046,13.617009879739053,0.1057
0.8,5,50,46,8.594211366194623,0.0980392156862745,0.023434838710105543,8.715685420591003,0.1116
0.8,6,41,38,5.603291651010702,0.09523809523809523,0.024182879849053096,5.72271262609785,0.1114
0.8,7,35,33,3.817397807184555,0.08333333333333337,0.02491847528137936,3.9256496157992675,0.0953
0.8,8,31,29,2.7035375988795622,0.09375,0.02564358332418948,2.8229311822037517,0.1008
0.8,9,27,26,1.8875942628159164,0.0714285714285714,0.02635912903046167,1.9853819632749494,0.0852
0.8,10,25,24,1.3999129985027532,0.07692307692307687,0.02706555691581536,1.5039016323416454,0.0892
0.8,11,22,21,0.9896720453393412,0.08695652173913049,0.027763080023105458,1.1043916471015771,0.1026
0.8,12,20,19,0.722408552899001,0.09523809523809523,0.028451801565755552,0.8460984497028518,0.107
0.8,13,19,18,0.5501718790424961,0.09999999999999998,0.029131777504101564,0.6793036565465976,0.1172
0.8,14,17,17,0.3960157956380935,0.05555555555555558,0.02980304958334079,0.4813744007769899,0.0658
0.8,15,16,16,0.29915978167468005,0.05882352941176472,0.03046566272619211,0.3884489738126369,0.0647
0.8,16,15,15,0.2252246020099785,0.0625,0.031119673785926505,0.318844275795905,0.0747
0.8,17,14,14,0.16890640062385892,0.06666666666666665,0.03176515539899327,0.26733822268951885,0.0756
0.8,18,13,13,0.12611102187655657,0.0714285714285714,0.032402197027756596,0.22994179033288456,0.0803
0.8,19,13,13,0.10088587026432604,0.0714285714285714,0.03303090440599554,0.205345346098893,0.0854
0.8,20,12,12,0.07494238828401668,0.07692307692307687,0.033651398110307484,0.18551686331740103,0.0909
0.8,21,11,11,0.05534140923194125,0.08333333333333337,0.03426381169647286,0.17293855426174748,0.0981
0.8,22,11,11,0.04427278839644164,0.08333333333333337,0.03486828966933686,0.16247441139911187,0.0993
0.8,23,10,10,0.03246655239616283,0.09090909090909094,0.03546498544954413,0.1588406287547979,0.1009
0.8,24,10,10,0.02597316046193333,0.09090909090909094,0.03605405943412565,0.1529363108051499,0.1089
0.8,25,10,10,0.020778486665052977,0.09090909090909094,0.03663567720552141,0.14832325477966532,0.1055
0.8,26,9,9,0.015111607254085365,0.09999999999999998,0.037210007916291366,0.1523216151703767,0.1141
0.8,27,9,9,0.012089275864672906,0.09999999999999998,0.037777222859204374,0.14986649872387725,0.1114
0.8,28,8,9,0.008704274042873118,0.0,0.03833749422125332,0.04704176826412644,0.0
0.8,29,8,9,0.006963416889500894,0.0,0.03889099401327267,0.04585441090277357,0.0
0.8,30,8,9,0.005570732311065781,0.0,0.03943789316284385,0.04500862547390963,0.0
0.8,31,8,9,0.00445658523417921,0.0,0.03997836075610528,0.04443494599028449,0.0
0.8,32,7,8,0.0031691269978939844,0.0,0.040512563413296565,0.04368169041119055,0.0
0.8,33,7,8,0.002535301455086016,0.0,0.04104066478293178,0.043575966238017794,0.0
0.8,34,7,8,0.0020282410907354917,0.0,0.0415628251400908,0.043591066230826286,0.0
0.8,35,7,8,0.0016225928350417375,0.0,0.04207920107524599,0.04370179391028772,0.0
0.8,36,6,7,0.001135814967708316,0.0,0.04258994526112825,0.04372576022883656,0.0
0.8,37,6,7,0.0009086519655543523,0.0,0.04309520628632968,0.044003858251884034,0.0
0.8,38,6,7,0.0007269215680339842,0.0,0.0435951285455094,0.044322050113543385,0.0
0.8,39,6,7,0.0005815372521695245,0.0,0.044089852177224165,0.044671389429393686,0.0
0.8,40,6,7,0.00046522980057969645,0.0,0.04457951304148944,0.045044742842069135,0.0
0.8,41,6,7,0.0003721838398719244,0.0,0.04506424273017706,0.04543642657004899,0.0
0.8,42,5,6,0.00025521177565244666,0.0,0.045544168604273016,0.04579938037992546,0.0
0.8,43,5,6,0.0002041694203889756,0.0,0.046019413852842916,0.046223583273231894,0.0
0.8,44,5,6,0.00016333553624309384,0.0,0.04649009756929057,0.04665343310553366,0.0
0.8,45,5,6,0.00013066842895961467,0.0,0.046956334841145475,0.047087003270105086,0.0
0.8,46,5,6,0.00010453474314984324,0.0,0.04741823685018898,0.04752277159333882,0.0
0.8,47,5,6,8.362779451073616e-05,0.0,0.04787591098023025,0.04795953877474099,0.0
0.8,48,5,6,6.690223560391006e-05,0.0,0.048329460930279344,0.048396363165883256,0.0
0.8,49,5,6,5.3521788480732465e-05,0.0,0.04877898683123627,0.048832508619717004,0.0
0.8,50,5,6,4.281743078335943e-05,0.0,0.04922458536454699,0.04926740279533035,0.0
